bt,km,transmission,owner,modelYear,price,place,Insurance Validity,Fuel Type,Seats,Engine Displacement,oem_encoded,num_features,num_Comfort,num_Interior,num_Exterior,frequency_encoded_model,variantName_encoded
1.0,26500,1,2,2021,1675000,2,1.0,0.0,5,1397,9,9,26,12,18,0.023180786234914565,0.0003584657665192974
1.0,20000,1,1,2019,1250000,2,0.0,0.0,5,998,9,9,20,11,12,0.00967857569602103,0.0015533516549169554
1.0,58600,1,1,2016,1350000,2,0.0,1.0,7,2179,17,9,23,10,15,0.015414027960329788,0.0002389771776795316
1.0,20000,1,1,2019,1250000,2,0.0,0.0,5,998,9,9,20,11,12,0.00967857569602103,0.0015533516549169554
1.0,42050,1,1,2020,2225000,2,1.0,0.0,5,1498,31,9,27,14,27,0.0002389771776795316,0.0002389771776795316
0.0,65017,1,1,2015,475000,2,,0.0,5,998,20,8,10,9,5,0.0181622655036444,0.002031306010276019
2.0,80000,1,2,2008,600000,2,0.0,1.0,5,1995,1,9,20,12,13,0.004660054964750866,0.0009559087107181264
1.0,30000,1,1,2021,2450000,2,0.0,0.0,5,1368,12,9,25,13,23,0.012307324650495877,0.000597442944198829
1.0,20000,1,1,2020,1625000,2,0.0,0.0,5,1353,13,9,24,14,20,0.01135141593977775,0.0017923288325964871
2.0,36349,1,1,2014,1650000,2,0.0,1.0,5,1968,28,9,18,10,10,0.0029872147209941452,0.0004779543553590632
0.0,80000,0,3,2009,249000,2,0.0,0.0,5,1197,9,9,10,8,4,0.021866411757677142,0.007886246863424543
1.0,83394,0,2,2014,630000,2,0.0,0.0,5,1598,27,8,11,9,2,0.008364201218783606,0.0001194885888397658
1.0,30000,1,2,2016,2599000,2,0.0,1.0,5,1968,0,9,24,12,19,0.0026287489544748474,0.0001194885888397658
0.0,80000,0,3,2009,249000,2,0.0,0.0,5,1197,9,9,10,8,4,0.021866411757677142,0.007886246863424543
0.0,52204,0,1,2017,385000,2,2.0,0.0,5,998,20,9,7,6,5,0.010037041462540327,0.04026765443900108
0.0,110000,0,3,2012,300000,2,0.0,0.0,5,1197,9,9,14,12,9,0.03955072290596248,0.0010753972995578922
1.0,89000,1,1,2017,2975000,2,0.0,1.0,7,3198,6,9,20,12,19,0.0035846576651929743,0.0017923288325964871
0.0,29813,0,2,2014,276000,2,1.0,0.0,5,796,20,9,6,6,5,0.019476639980881824,0.04026765443900108
0.0,30000,0,1,2018,500000,2,0.0,0.0,5,1196,6,9,15,10,10,0.007647269685745011,0.0001194885888397658
0.0,13345,1,1,2020,730000,2,1.0,0.0,5,1197,20,9,12,10,12,0.0071693153303859485,0.001194885888397658
1.0,17100,1,1,2022,2245000,2,1.0,1.0,7,1498,9,9,29,16,22,0.0021507945991157845,0.0002389771776795316
0.0,75000,0,1,2014,399000,2,1.0,0.0,5,1197,9,9,12,9,9,0.03106703309833911,0.011590393117457283
0.0,75523,0,2,2011,312000,2,1.0,0.0,5,1197,9,9,10,8,5,0.021866411757677142,0.011590393117457283
1.0,47000,0,1,2015,1275000,2,1.0,1.0,7,2179,17,9,23,11,17,0.015414027960329788,0.001194885888397658
1.0,36500,0,1,2022,1989999,2,1.0,1.0,5,1956,29,9,15,12,16,0.0035846576651929743,0.0003584657665192974
3.0,28253,0,1,2020,719000,2,1.0,0.0,7,999,27,9,16,11,11,0.005257497908949695,0.0016728402437567213
1.0,50000,0,1,2016,1260000,2,0.0,1.0,5,1582,9,9,23,11,16,0.023180786234914565,0.000597442944198829
0.0,90000,0,2,2010,300000,2,0.0,0.0,5,1197,9,8,10,7,3,0.021866411757677142,0.009200621340661966
1.0,70000,1,2,2016,3981000,2,0.0,1.0,5,2993,1,9,26,15,18,0.0017923288325964871,0.0001194885888397658
0.0,52571,0,1,2016,627000,2,1.0,0.0,5,1197,9,9,17,11,12,0.03955072290596248,0.004779543553590632
2.0,70000,1,2,2010,1300000,2,0.0,1.0,5,1995,1,9,20,12,14,0.004660054964750866,0.0002389771776795316
2.0,61993,0,1,2015,672000,2,1.0,0.0,5,1497,8,9,17,10,8,0.04421077787071335,0.006093918030828056
1.0,57000,1,1,2017,1825000,2,1.0,1.0,5,1995,9,9,31,15,19,0.0003584657665192974,0.0001194885888397658
1.0,80000,0,2,2021,3500000,2,0.0,1.0,7,2755,30,9,31,12,19,0.0071693153303859485,0.0002389771776795316
0.0,36359,0,1,2013,440000,2,1.0,0.0,5,1197,9,9,10,11,10,0.03955072290596248,0.007886246863424543
1.0,70000,0,2,2019,1460000,2,0.0,1.0,5,1956,29,9,25,12,12,0.0035846576651929743,0.0008364201218783606
1.0,7500,1,1,2022,2041000,2,1.0,0.0,5,1451,16,9,28,14,26,0.005735452264308758,0.001194885888397658
2.0,30301,1,1,2017,1033000,2,1.0,0.0,5,1591,9,9,26,13,10,0.021746923168837376,0.0007169315330385948
0.0,66000,0,1,2010,275000,2,1.0,0.0,5,1197,9,9,10,8,4,0.021866411757677142,0.007886246863424543
0.0,56010,0,1,2017,676000,2,1.0,0.0,5,1197,9,9,14,10,10,0.03955072290596248,0.007886246863424543
1.0,47000,1,1,2017,4290000,2,1.0,1.0,5,2143,21,9,30,14,20,0.0026287489544748474,0.0001194885888397658
1.0,60000,0,2,2014,650000,2,0.0,1.0,5,1461,24,9,18,13,12,0.0015533516549169554,0.0003584657665192974
0.0,83829,0,1,2014,444000,2,0.0,1.0,5,1248,20,9,10,10,9,0.041821006093918034,0.0027482375433146135
0.0,10000,1,1,2020,509999,2,0.0,0.0,5,999,27,9,10,7,8,0.01792328832596487,0.001194885888397658
1.0,35000,1,2,2016,925000,2,1.0,1.0,5,1461,27,9,21,13,11,0.008364201218783606,0.0002389771776795316
2.0,51116,1,2,2019,1024000,2,1.0,0.0,5,1497,8,9,26,11,11,0.04421077787071335,0.0007169315330385948
2.0,80000,0,3,2016,500000,2,0.0,1.0,5,1498,28,9,17,13,9,0.007886246863424543,0.0001194885888397658
0.0,40000,1,2,2017,994999,2,0.0,0.0,5,1197,31,9,14,11,14,0.017564822559445574,0.0021507945991157845
1.0,85565,1,2,2012,935000,2,1.0,0.0,5,2354,8,9,14,10,10,0.0016728402437567213,0.0009559087107181264
1.0,36916,0,1,2018,834000,2,1.0,0.0,5,1497,6,9,20,12,13,0.01995459433624089,0.0003584657665192974
0.0,90000,0,1,2015,560000,2,0.0,1.0,5,1498,31,9,11,11,10,0.017564822559445574,0.00227028318795555
0.0,112795,0,1,2012,454000,2,1.0,0.0,5,1197,20,9,11,7,7,0.041821006093918034,0.04026765443900108
2.0,11000,1,1,2021,3690000,2,1.0,0.0,5,1332,21,9,32,16,22,0.0004779543553590632,0.0003584657665192974
3.0,120000,0,2,2014,1100000,2,0.0,0.0,7,1998,30,9,9,11,8,0.006691360975026885,0.0001194885888397658
0.0,36685,0,2,2016,462000,2,1.0,0.0,5,1198,8,9,12,10,6,0.00740829250806548,0.004779543553590632
1.0,120000,1,2,2012,900000,2,0.0,1.0,7,2199,9,9,22,13,16,0.0003584657665192974,0.0004779543553590632
2.0,4000,1,1,2022,7900000,2,1.0,0.0,4,1998,1,9,31,15,19,0.0008364201218783606,0.0001194885888397658
0.0,32184,1,2,2019,843000,2,2.0,0.0,5,1197,20,9,15,12,13,0.03524913370773091,0.0027482375433146135
0.0,32279,0,1,2018,799000,2,1.0,0.0,5,998,20,9,16,12,14,0.0003584657665192974,0.0003584657665192974
0.0,59698,0,1,2015,576000,2,1.0,0.0,5,1197,9,9,18,11,12,0.03955072290596248,0.0015533516549169554
1.0,46071,0,1,2018,949000,2,1.0,1.0,5,1461,27,9,26,13,14,0.0008364201218783606,0.0002389771776795316
1.0,90000,0,1,2017,795000,2,0.0,1.0,5,1248,20,9,16,11,12,0.01111243876209822,0.0033456804875134426
1.0,9554,0,1,2019,1085000,2,2.0,0.0,5,998,9,9,15,11,12,0.00967857569602103,0.0007169315330385948
1.0,14000,1,1,2022,2590000,2,1.0,0.0,5,1368,12,9,25,12,23,0.012307324650495877,0.0002389771776795316
1.0,74499,0,2,2013,516000,2,2.0,1.0,5,1461,27,8,11,9,2,0.008364201218783606,0.0007169315330385948
1.0,56211,1,2,2017,777000,2,1.0,0.0,5,1497,6,9,15,11,11,0.01995459433624089,0.0003584657665192974
0.0,9001,0,1,2019,753000,2,1.0,0.0,5,1199,8,9,15,12,11,0.01338272195005377,0.0013143744772374237
1.0,65457,1,2,2017,1226000,2,0.0,1.0,7,1997,17,9,23,10,17,0.015414027960329788,0.0003584657665192974
0.0,23682,0,1,2017,725000,2,1.0,0.0,5,1199,8,9,13,12,12,0.01338272195005377,0.002389771776795316
2.0,50000,0,1,2020,1150000,2,0.0,1.0,5,1582,9,9,27,11,9,0.021746923168837376,0.0003584657665192974
0.0,134557,0,2,2015,629000,2,1.0,1.0,5,1248,20,9,15,11,12,0.041821006093918034,0.000597442944198829
2.0,96567,0,2,2013,447000,2,1.0,0.0,5,1197,20,9,15,10,9,0.03023061297646075,0.04026765443900108
0.0,120000,0,3,2015,400000,2,0.0,0.0,5,998,20,8,10,7,5,0.0181622655036444,0.04026765443900108
3.0,83007,0,2,2014,786000,2,1.0,1.0,7,1248,20,9,15,12,10,0.009798064284860795,0.0009559087107181264
0.0,34000,0,1,2018,745000,2,1.0,0.0,5,1199,8,9,14,12,13,0.01338272195005377,0.00227028318795555
0.0,81634,1,1,2014,490000,2,1.0,0.0,5,1197,9,9,16,11,14,0.03106703309833911,0.0019118174214362528
2.0,57284,1,2,2017,942000,2,1.0,0.0,5,1497,8,9,27,12,13,0.04421077787071335,0.0013143744772374237
1.0,70000,1,2,2016,675000,2,0.0,0.0,5,1499,6,9,15,13,13,0.01995459433624089,0.0008364201218783606
0.0,70000,0,2,2013,330000,2,0.0,0.0,5,1198,8,9,12,10,6,0.00740829250806548,0.004779543553590632
2.0,46429,1,2,2018,875000,2,0.0,0.0,5,1496,30,9,18,13,11,0.002031306010276019,0.0001194885888397658
0.0,17624,0,1,2017,869000,2,1.0,0.0,5,1197,20,9,15,12,13,0.03524913370773091,0.0035846576651929743
2.0,100000,0,2,2012,425000,2,0.0,1.0,5,1598,31,9,17,12,10,0.008125224041104075,0.0017923288325964871
2.0,30000,0,1,2019,1070000,2,0.0,0.0,5,1497,8,9,25,11,11,0.04421077787071335,0.0021507945991157845
1.0,49690,0,2,2018,1025000,2,0.0,0.0,5,1496,6,9,20,13,16,0.01995459433624089,0.0007169315330385948
1.0,110000,0,1,2016,1000000,2,0.0,1.0,7,2179,17,9,19,11,14,0.015414027960329788,0.00227028318795555
2.0,50000,0,1,2009,375000,2,0.0,0.0,5,1368,5,9,18,12,9,0.0014338630660771896,0.0004779543553590632
2.0,50000,0,1,2009,375000,2,0.0,0.0,5,1368,5,9,18,12,9,0.0014338630660771896,0.0004779543553590632
1.0,55702,1,1,2018,844000,2,1.0,0.0,5,1497,6,9,21,12,13,0.01995459433624089,0.0014338630660771896
0.0,45046,0,1,2016,764000,2,0.0,1.0,5,1396,9,9,18,11,14,0.002867726132154379,0.0004779543553590632
0.0,53000,0,2,2014,420000,2,0.0,0.0,5,1197,20,8,10,9,7,0.005257497908949695,0.003465169076353208
